,Actual,Seasonally adjusted,Trend,Quarter,Structural Break (GFC),Structural Break (Covid)
1993Q1,382000,386040,389190,1,0,0
1993Q2,413000,410284,407488,2,0,0
1993Q3,410000,415751,415216,3,0,0
1993Q4,426000,418515,421978,4,0,0
1994Q1,436000,441928,439151,1,0,0
1994Q2,458000,456153,464308,2,0,0
1994Q3,486000,493285,493012,3,0,0
1994Q4,530000,520282,520315,4,0,0
1995Q1,521155,529345,526731,1,0,0
1995Q2,526479,516512,524314,2,0,0
1995Q3,524398,533069,526019,3,0,0
1995Q4,543983,534366,543266,4,0,0
1996Q1,545317,569189,560533,1,0,0
1996Q2,566897,565113,568650,2,0,0
1996Q3,545829,567603,569293,3,0,0
1996Q4,569226,573958,566843,4,0,0
1997Q1,532950,558456,570593,1,0,0
1997Q2,605364,600641,580813,2,0,0
1997Q3,564630,581295,588844,3,0,0
1997Q4,579370,587493,582099,4,0,0
1998Q1,540501,570041,574114,1,0,0
1998Q2,581476,561565,555906,2,0,0
1998Q3,537459,539221,545219,3,0,0
1998Q4,552628,557231,556183,4,0,0
1999Q1,566763,588135,588188,1,0,0
1999Q2,643041,618749,617987,2,0,0
1999Q3,638095,635175,632043,3,0,0
1999Q4,629099,633896,643492,4,0,0
2000Q1,629129,654049,638116,1,0,0
2000Q2,625235,604074,619192,2,0,0
2000Q3,618875,609401,598674,3,0,0
2000Q4,583777,589569,595909,4,0,0
2001Q1,583701,610220,613544,1,0,0
2001Q2,670565,650659,643438,2,0,0
2001Q3,659706,644913,641854,3,0,0
2001Q4,605385,611981,637402,4,0,0
2002Q1,644064,673356,654692,1,0,0
2002Q2,694833,676576,683645,2,0,0
2002Q3,740637,720543,723461,3,0,0
2002Q4,760763,768127,749456,4,0,0
2003Q1,703650,737262,752942,1,0,0
2003Q2,793316,776208,769697,2,0,0
2003Q3,832873,807098,809771,3,0,0
2003Q4,837362,843879,841177,4,0,0
2004Q1,822873,864098,865977,1,0,0
2004Q2,901712,882110,879728,2,0,0
2004Q3,916317,886685,889278,3,0,0
2004Q4,892778,899029,896433,4,0,0
2005Q1,854856,897116,908708,1,0,0
2005Q2,946441,925935,925591,2,0,0
2005Q3,966335,938365,926765,3,0,0
2005Q4,897990,901845,910786,4,0,0
2006Q1,849947,892375,875040,1,0,0
2006Q2,862112,842401,872536,2,0,0
2006Q3,973709,950282,896967,3,0,0
2006Q4,906310,906423,922198,4,0,0
2007Q1,900510,941549,942598,1,0,0
2007Q2,995836,974007,960661,2,0,0
2007Q3,947055,932244,942473,3,0,0
2007Q4,932373,926473,926134,4,0,0
2008Q1,890796,927592,928882,1,0,0
2008Q2,930860,911110,900202,2,1,0
2008Q3,840195,834974,850568,3,1,0
2008Q4,829875,820971,790111,4,1,0
2009Q1,673880,699045,725951,1,1,0
2009Q2,689256,676201,676271,2,1,0
2009Q3,671998,671387,673208,3,1,0
2009Q4,702075,691129,690273,4,1,0
2010Q1,675222,698836,691660,1,1,0
2010Q2,680905,669578,677095,2,1,0
2010Q3,675979,676156,676682,3,1,0
2010Q4,697107,685402,681985,4,1,0
2011Q1,649493,671359,679045,1,1,0
2011Q2,690670,681986,679152,2,1,0
2011Q3,677605,674939,667221,3,1,0
2011Q4,653238,642870,654784,4,1,0
2012Q1,660053,683534,684363,1,1,0
2012Q2,739388,732420,717813,2,1,0
2012Q3,708650,699540,727753,3,1,0
2012Q4,762353,750568,746695,4,1,0
2013Q1,743654,774999,769193,1,1,0
2013Q2,779142,771796,779763,2,1,0
2013Q3,818713,804813,798958,3,1,0
2013Q4,844081,829407,835657,4,1,0
2014Q1,839888,880677,872717,1,1,0
2014Q2,919439,908607,921388,2,1,0
2014Q3,989095,971595,953192,3,0,0
2014Q4,976497,953977,972544,4,0,0
2015Q1,934397,990719,974909,1,0,0
2015Q2,977130,963921,971128,2,0,0
2015Q3,989777,971004,979410,3,0,0
2015Q4,1039583,1011239,987816,4,0,0
2016Q1,907508,969417,1000979,1,0,0
2016Q2,1067713,1049325,1023013,2,0,0
2016Q3,1042924,1024906,1035272,3,0,0
2016Q4,1061019,1028444,1032973,4,0,0
2017Q1,976154,1051042,1038911,1,0,0
2017Q2,1044528,1022124,1031985,2,0,0
2017Q3,1054715,1036324,1038240,3,0,0
2017Q4,1105758,1069618,1038199,4,0,0
2018Q1,935615,1009287,1026781,1,0,0
2018Q2,1075980,1051277,1050306,2,0,0
2018Q3,1107688,1090690,1073694,3,0,0
2018Q4,1087667,1051507,1071548,4,0,0
2019Q1,1009119,1089186,1080065,1,0,0
2019Q2,1111974,1086244,1082446,2,0,0
2019Q3,1064199,1049417,1054878,3,0,0
2019Q4,1073059,1037169,1034898,4,0,0
2020Q1,960639,1033586,1034615,1,0,0
2020Q2,812906,796476,,2,0,0
2020Q3,1111544,1098447,,3,0,0
2020Q4,1160415,1118424,,4,0,0
2021Q1,1065456,1144186,,1,0,0
2021Q2,1199674,1176857,,2,0,0
2021Q3,967055,957532,,3,0,0
2021Q4,1290076,1242227,,4,0,0
2022Q1,1123971,1204355,,1,0,0
2022Q2,1203918,1183126,,2,0,0